Year,Cause Name,State,Deaths,Age-adjusted Death Rate,Population
2017,diabetes,Louisiana,1272,23.9,4684333
2017,diabetes,Maine,395,19.8,1335907
2017,diabetes,Maryland,1439,20.3,6052177
2017,diabetes,Massachusetts,1321,15.1,6859819
2017,diabetes,Michigan,2798,22.1,9962311
2017,diabetes,Minnesota,1312,19.3,5576606
2017,diabetes,Mississippi,1164,33.3,2984100
2017,diabetes,Missouri,1605,21.0,6113532
2017,diabetes,Montana,292,21.6,1050493
2017,diabetes,Nebraska,575,25.0,1920076
2017,diabetes,Nevada,609,18.3,2998039
2017,diabetes,New Hampshire,340,19.2,1342795
2017,diabetes,New Jersey,1908,16.9,9005644
2017,diabetes,New Mexico,673,26.5,2088070
2017,diabetes,New York,4176,16.8,19849399
2017,diabetes,North Carolina,2903,23.6,10273419
2017,diabetes,North Dakota,194,21.8,755393
2017,diabetes,Ohio,3740,25.2,11658609
2017,diabetes,Oklahoma,1398,30.6,3930864
2017,diabetes,Oregon,1243,23.9,4142776
2017,diabetes,Pennsylvania,3704,21.1,12805537
2017,diabetes,Rhode Island,275,18.8,1059639
2017,diabetes,South Carolina,1535,24.5,5024369
2017,diabetes,South Dakota,263,24.9,869666
2017,diabetes,Tennessee,1915,24.0,6715984
2017,diabetes,Texas,5832,21.2,28304596
2017,diabetes,Utah,596,22.9,3101833
2017,diabetes,Vermont,163,19.2,623657
2017,diabetes,Virginia,1967,20.1,8470020
2017,diabetes,Washington,1812,21.6,7405743
2017,diabetes,West Virginia,864,34.0,1815857
2017,diabetes,Wisconsin,1433,19.4,5795483
2017,diabetes,Wyoming,121,18.1,579315
2017,heart disease,United States,647457,165.0,329791231
2017,heart disease,Alabama,13110,223.2,4874747
2017,heart disease,Alaska,814,135.0,739795
2017,heart disease,Arizona,12398,141.9,7016270
2017,heart disease,Arkansas,8270,223.8,3004279
2017,heart disease,California,62797,142.9,39536653
2017,heart disease,Colorado,7060,122.7,5607154
2017,heart disease,Connecticut,7138,141.6,3588184
2017,heart disease,Delaware,1990,158.4,961939
2017,heart disease,District of Columbia,1284,189.8,693972
2017,heart disease,Florida,46440,145.8,20984400
2017,heart disease,Georgia,18389,175.8,10429379
2017,heart disease,Hawaii,2575,129.8,1427538
2017,heart disease,Idaho,3084,162.5,1716943
2017,heart disease,Illinois,25394,163.3,12802023
2017,heart disease,Indiana,14445,183.2,6666818
2017,heart disease,Iowa,7180,167.4,3145711
2017,heart disease,Kansas,5723,158.0,2913123
2017,heart disease,Kentucky,10343,195.9,4454189
2017,heart disease,Louisiana,11260,214.4,4684333
2017,heart disease,Maine,2844,143.5,1335907
2017,heart disease,Maryland,11653,164.5,6052177
2017,heart disease,Massachusetts,12140,134.7,6859819
2017,heart disease,Michigan,25187,196.1,9962311
2017,heart disease,Minnesota,8230,119.1,5576606
2017,heart disease,Mississippi,7944,231.6,2984100
2017,heart disease,Missouri,14820,191.1,6113532
2017,heart disease,Montana,2164,155.0,1050493
2017,heart disease,Nebraska,3581,149.3,1920076
2017,heart disease,Nevada,6417,199.3,2998039
2017,heart disease,New Hampshire,2721,149.7,1342795
2017,heart disease,New Jersey,18840,162.3,9005644
2017,heart disease,New Mexico,3896,151.4,2088070
2017,heart disease,New York,44092,171.2,19849399
2017,heart disease,North Carolina,18808,156.5,10273419
2017,heart disease,North Dakota,1326,137.8,755393
2017,heart disease,Ohio,28008,186.2,11658609
2017,heart disease,Oklahoma,10772,237.2,3930864
2017,heart disease,Oregon,6942,134.0,4142776
2017,heart disease,Pennsylvania,32312,176.0,12805537
2017,heart disease,Rhode Island,2339,155.7,1059639
2017,heart disease,South Carolina,10418,172.0,5024369
2017,heart disease,South Dakota,1710,150.1,869666
2017,heart disease,Tennessee,16019,202.2,6715984
2017,heart disease,Texas,45346,169.2,28304596
2017,heart disease,Utah,3749,150.2,3101833
2017,heart disease,Vermont,1332,152.5,623657
2017,heart disease,Virginia,14861,154.5,8470020
2017,heart disease,Washington,11582,138.8,7405743
2017,heart disease,West Virginia,4849,192.0,1815857
2017,heart disease,Wisconsin,11860,157.6,5795483
2017,heart disease,Wyoming,1001,148.9,579315
2017,influenza and pneumonia,United States,55672,14.3,329791231
2017,influenza and pneumonia,Alabama,1176,20.2,4874747
2017,influenza and pneumonia,Alaska,66,11.7,739795
2017,influenza and pneumonia,Arizona,876,10.1,7016270
2017,influenza and pneumonia,Arkansas,720,19.8,3004279
2017,influenza and pneumonia,California,6340,14.6,39536653
2017,influenza and pneumonia,Colorado,577,10.1,5607154
2017,influenza and pneumonia,Connecticut,675,13.1,3588184
2017,influenza and pneumonia,Delaware,184,14.9,961939
2017,influenza and pneumonia,District of Columbia,79,11.4,693972
2017,influenza and pneumonia,Florida,3057,9.6,20984400
