State,Year,Spending
Southwest,2013,6562.0
Arizona,2013,6289.0
New Mexico,2013,6697.0
Oklahoma,2013,7316.0
Texas,2013,6510.0
Rocky Mountains,2013,6355.0
Colorado,2013,6364.0
Idaho,2013,6377.0
Montana,2013,7703.0
Utah,2013,5554.0
Wyoming,2013,7845.0
Far West,2013,7245.0
Alaska,2013,10085.0
California,2013,7241.0
Hawaii,2013,6880.0
Nevada,2013,6259.0
Oregon,2013,7378.0
Washington,2013,7356.0
United States,2014,7938.0
New England,2014,9990.0
Connecticut,2014,9831.0
Maine,2014,9115.0
Massachusetts,2014,10394.0
New Hampshire,2014,9367.0
Rhode Island,2014,9484.0
Vermont,2014,10589.0
Mideast,2014,9375.0
Delaware,2014,10263.0
District of Columbia,2014,11975.0
Maryland,2014,8574.0
New Jersey,2014,9008.0
New York,2014,9805.0
Pennsylvania,2014,9142.0
Great Lakes,2014,8143.0
Illinois,2014,8017.0
Indiana,2014,7998.0
Michigan,2014,7967.0
Ohio,2014,8401.0
Wisconsin,2014,8371.0
Plains,2014,8192.0
Iowa,2014,7967.0
Kansas,2014,7368.0
Minnesota,2014,8919.0
Missouri,2014,7828.0
Nebraska,2014,8175.0
North Dakota,2014,9005.0
South Dakota,2014,9103.0
Southeast,2014,7506.0
Alabama,2014,7277.0
Arkansas,2014,7284.0
Florida,2014,7965.0
Georgia,2014,6622.0
Kentucky,2014,7965.0
Louisiana,2014,7855.0
Mississippi,2014,7500.0
North Carolina,2014,7194.0
South Carolina,2014,7210.0
Tennessee,2014,7418.0
Virginia,2014,7449.0
West Virginia,2014,9385.0
Southwest,2014,6871.0
Arizona,2014,6561.0
New Mexico,2014,7010.0
Oklahoma,2014,7658.0
Texas,2014,6825.0
Rocky Mountains,2014,6645.0
Colorado,2014,6680.0
Idaho,2014,6615.0
Montana,2014,7942.0
Utah,2014,5825.0
Wyoming,2014,8269.0
Far West,2014,7516.0
Alaska,2014,10535.0
California,2014,7472.0
Hawaii,2014,7224.0
Nevada,2014,6723.0
Oregon,2014,7899.0
Washington,2014,7602.0
United States,2015,8337.0
New England,2015,10516.0
Connecticut,2015,10294.0
Maine,2015,9591.0
Massachusetts,2015,11010.0
New Hampshire,2015,9763.0
Rhode Island,2015,9914.0
Vermont,2015,11010.0
Mideast,2015,9840.0
Delaware,2015,10714.0
