State,Year,Spending
Missouri,2006,33980.0
Nebraska,2006,11279.0
North Dakota,2006,4257.0
South Dakota,2006,4907.0
Southeast,2006,438885.0
Alabama,2006,26699.0
Arkansas,2006,15413.0
Florida,2006,114408.0
Georgia,2006,47436.0
Kentucky,2006,25236.0
Louisiana,2006,25534.0
Mississippi,2006,16777.0
North Carolina,2006,52037.0
South Carolina,2006,24732.0
Tennessee,2006,36274.0
Virginia,2006,42079.0
West Virginia,2006,12259.0
Southwest,2006,185112.0
Arizona,2006,30911.0
New Mexico,2006,10534.0
Oklahoma,2006,20445.0
Texas,2006,123223.0
Rocky Mountains,2006,52832.0
Colorado,2006,24992.0
Idaho,2006,7431.0
Montana,2006,5486.0
Utah,2006,11706.0
Wyoming,2006,3216.0
Far West,2006,277394.0
Alaska,2006,5013.0
California,2006,194303.0
Hawaii,2006,7276.0
Nevada,2006,12998.0
Oregon,2006,21144.0
Washington,2006,36660.0
United States,2007,1922157.0
New England,2007,115485.0
Connecticut,2007,27511.0
Maine,2007,10135.0
Massachusetts,2007,55423.0
New Hampshire,2007,9485.0
Rhode Island,2007,8159.0
Vermont,2007,4772.0
Mideast,2007,354565.0
Delaware,2007,6730.0
District of Columbia,2007,5659.0
Maryland,2007,39263.0
New Jersey,2007,61943.0
New York,2007,150026.0
Pennsylvania,2007,90944.0
Great Lakes,2007,300839.0
Illinois,2007,82110.0
Indiana,2007,40164.0
Michigan,2007,63192.0
Ohio,2007,76756.0
Wisconsin,2007,38618.0
Plains,2007,132592.0
Iowa,2007,19327.0
Kansas,2007,17674.0
Minnesota,2007,36682.0
Missouri,2007,37262.0
Nebraska,2007,11865.0
North Dakota,2007,4565.0
South Dakota,2007,5218.0
Southeast,2007,465083.0
Alabama,2007,27765.0
Arkansas,2007,16400.0
Florida,2007,121373.0
Georgia,2007,50159.0
Kentucky,2007,26416.0
Louisiana,2007,27507.0
Mississippi,2007,18040.0
North Carolina,2007,54673.0
South Carolina,2007,26286.0
Tennessee,2007,38484.0
Virginia,2007,44978.0
West Virginia,2007,13002.0
Southwest,2007,197852.0
Arizona,2007,33560.0
New Mexico,2007,11347.0
Oklahoma,2007,21947.0
Texas,2007,130998.0
Rocky Mountains,2007,56735.0
Colorado,2007,26708.0
Idaho,2007,7998.0
Montana,2007,5886.0
Utah,2007,12634.0
Wyoming,2007,3509.0
Far West,2007,299006.0
Alaska,2007,5390.0
California,2007,209334.0
Hawaii,2007,8016.0
Nevada,2007,14138.0
Oregon,2007,22346.0
Washington,2007,39781.0
United States,2008,2007967.0
New England,2008,121097.0
Connecticut,2008,29056.0
Maine,2008,10543.0
Massachusetts,2008,58053.0
New Hampshire,2008,9979.0
Rhode Island,2008,8491.0
Vermont,2008,4976.0
Mideast,2008,367107.0
Delaware,2008,7166.0
District of Columbia,2008,5932.0
Maryland,2008,41078.0
New Jersey,2008,64049.0
New York,2008,154833.0
Pennsylvania,2008,94050.0
Great Lakes,2008,309471.0
Illinois,2008,84496.0
Indiana,2008,40992.0
Michigan,2008,65175.0
Ohio,2008,78486.0
Wisconsin,2008,40321.0
Plains,2008,138683.0
Iowa,2008,20087.0
Kansas,2008,18448.0
Minnesota,2008,37919.0
Missouri,2008,39402.0
Nebraska,2008,12445.0
North Dakota,2008,4813.0
South Dakota,2008,5569.0
Southeast,2008,485420.0
Alabama,2008,28781.0
Arkansas,2008,17204.0
Florida,2008,127026.0
Georgia,2008,51174.0
Kentucky,2008,27246.0
Louisiana,2008,29248.0
Mississippi,2008,18807.0
North Carolina,2008,57406.0
South Carolina,2008,27889.0
Tennessee,2008,39418.0
Virginia,2008,47766.0
West Virginia,2008,13454.0
Southwest,2008,210663.0
Arizona,2008,35656.0
New Mexico,2008,12059.0
Oklahoma,2008,23380.0
Texas,2008,139568.0
Rocky Mountains,2008,59470.0
Colorado,2008,27835.0
Idaho,2008,8359.0
Montana,2008,6196.0
Utah,2008,13370.0
Wyoming,2008,3711.0
Far West,2008,316055.0
Alaska,2008,5716.0
California,2008,220894.0
Hawaii,2008,8478.0
Nevada,2008,14899.0
Oregon,2008,23488.0
Washington,2008,42581.0
United States,2009,2106233.0
New England,2009,127743.0
Connecticut,2009,31062.0
Maine,2009,10892.0
